Bew.-Nr.;Firmenname;Adresse;PLZ;Ort/Region;Kategorie;Weitere Aktivitäten;Tierart
42144811;Schlachtanlage Nussbaum;Sägegasse 27;3110;Münsingen BE;SH;SH(II);B, C, O, P
41374856;Schlachtanlage Nussbaum;Stockentalstrasse 70;3647;Reutigen BE;SH;SH(II), SH(III);B, C, O, P
42870330;Schlachtanlage Oberli;;6197;Schangnau BE;SH;SH(II), SH(III);B, C, O, P
70148495;Schlachtanlage Oensingen;Hauptstrasse 84;4702;Oensingen SO;SH;SH(II), SH(III);B, C, O, P
70148872;Schlachtanlage Raft Metzg-Hüsi;Dorf ;3655;Sigriswil BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P
41468509;Schlachtanlage Reber;;3555;Trubschachen BE;SH;;B, C, O, P
70148940;Schlachtanlage Rest. Linde;;3664;Burgistein BE;SH;SH(III), GHE(IV);B, C, O, P, S
70148825;Schlachtanlage Rohrbach;Walke 10;4938;Rohrbach BE;SH;SH(II), SH(III);B, C, O, P
50679991;Schlachtanlage Rufener;;3638;Blumenstein BE;SH;SH(II), SH(III);B, C, O, P
80527620;Schlachtanlage Rychener;Eggiwilstrasse 13;3535;Schüpbach BE;SH;SH(III);B, C, O, P
41262277;Schlachtanlage Schaufelberger Bernhard GmbH;Bernstrasse 60;3267;Seedorf BE BE;SH;SH(III);B, C, O, P
66108846;Schlachtanlage Schenk;;3036;Detligen BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P
70218372;Schlachtanlage Schwellenkorpo.- Aareboden;Mattenweg 8;3855;Brienz BE BE;SH;;B, C, O, P
43045641;Schlachtanlage Segessenmann;Dorfstrasse 5;3305;Scheunen BE;SH;SH(II), GHE(IV);B, C, O, P
41525078;Schlachtanlage Soltermann;;3367;Thörigen BE;SH;SH(III), GHE(IV);B, C, O, P, S
41502112;Schlachtanlage Sommer;Trachselwaldstrasse 3;3455;Grünen BE;SH;;B, C, O, P, S
43067446;Schlachtanlage Steffisburg Siegenthaler Hans;Unterer Riederenweg 64;3612;Steffisburg BE;SH;SH(II);B, C, O, P
70218325;Schlachtanlage Stengeli;;3150;Schwarzenburg BE;SH;SH(II), SH(III);B, C, O, P, S
70657648;Schlachtanlage Stettler Schüpfen GmbH;Bergackerweg 1;3054;Schüpfen BE;SH;;B, C, O, P
41273813;Schlachtanlage Stucki;Worbstrasse 1;3067;Boll BE;SH;;B, C, O, P
42886571;"Schlachtanlage Stähli Stähli Peter &amp; Silvia";Niederboden ;3622;Homberg b. Thun BE;SH;;B, C, O, P
80556967;Schlachtanlage Tanner;Hausmattweid 2;3152;Mamishaus BE;SH;SH(III);B, C, O, P, S
41275014;Schlachtanlage Tschanz;Hauptstrasse 12;4936;Kleindietwil BE;SH;SH(II), GHE(IV);B, C, O, P
42926936;Schlachtanlage Von Allmen Ulrich Von Allmen;Eschen ;3826;Gimmelwald BE;SH;;B, C, O
70148736;Schlachtanlage VVK Lenk i.S.;Lenkstrasse ;3775;Lenk im Simmental BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70149567;Schlachtanlage VVK Oberwil i.S.;Hüpbach ;3765;Oberwil im Simmental BE;SH;;B, C, O, P
70148720-2;Schlachtanlage VVK Reutigen;;3647;Reutigen BE;SH;;B, C, O, P
70148673;Schlachtanlage VVK Rüeggisberg;;3088;Rüeggisberg BE;SH;;B, C, O, P, S
80521189;Schlachtanlage VVK Uetendorf;;3661;Uetendorf BE;SH;SH(II);B, C, O, P
70148778;Schlachtanlage VVK Viehversicherungskasse;Urbachseystrasse 31a;3860;Meiringen BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
45070373;Schlachtanlage Walterswil;Ruessenstrasse 5b;6340;Baar ZG;SH, CP;SH(II), CP(II), SH(III), CP(III), PP(VI);B, C, O, P, S
70148516;Schlachtanlage Welschenrohr;Dünnernstrasse 314;4716;Welschenrohr SO;SH;SH(II), SH(III);B, C, O, P
41537361;Schlachtbetrieb Gunzwil, Estermann Heinrich;Sagen ;6222;Gunzwil LU;SH;;B, C, O, P
61184033;Schlachtbetrieb Gyrenbad;Höhenstr. 106;8340;Hinwil ZH;SH;SH(II), SH(III);B, C, O, P, S
52840881;Schlachtbetrieb Häberli Peter;Käppelistr. 1;6287;Aesch LU LU;SH;;B, C, O, P
107;Schlachtbetrieb St.Gallen SBAG;Schlachthofstr. 24;9015;St. Gallen SG;SH;;B
78556103;Schlachtbetrieb Visperterminen;;3932;Visperterminen VS;SH;;B, C, O
61138063;"Schlachtgen. Burgdorf &amp; Umgeb.";;3400;Burgdorf BE;SH;;B, C, O, P, S
65350977;Schlachthaus Bödemli AG;Turbachstrasse 59;3780;Gstaad BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70218152;Schlachthaus Engelberg;Engelbergerstrasse 125;6390;Engelberg OW;SH;SH(III);B, C, O
70678957;Schlachthaus Gamsen;;3900;Brig VS;SH;;B, C, O, P, S
41567717;Schlachthaus Rüti-Büron AG;Rütistrasse ;6233;Büron LU;SH, CP;PP(VI);B, C, O, P, S
70148233;Schlachthaus Wilchingen;Schlachthaus Wilchingen an der Bettengasse Vers. Nr. 72;8217;Wilchingen SH;SH;SH(II), SH(III);B, C, O, P, S
70218262;Schlachthausgem.Dägerlen-Hettlingen;Dorfstr. 10A;8471;Rutschwil (Dägerlen) ZH;SH;SH(II), SH(III);B, C, O, P, S
61772356;Schlachthausgenossenschaft;;4900;Langenthal BE;SH;;B, C, O, P, S
70147863;Schlachthauskorporation Tuttwil;;9546;Tuttwil TG;SH;SH(II);B, C, O, P
70600421;Schlachthausverein Arn;Hüttenstr. 17;8810;Horgen ZH;SH;SH(II), SH(III);B, C, O, P, S
70149090;Schlachthausverein Oerlingen;Weiherstr. 2;8461;Oerlingen ZH;SH;SH(II), SH(III);B, C, O, P, S
71511286;Schlachthof;;3907;Simplon Dorf VS;SH;;B, C, O, P
71689667;Schlachthof Baumgartner;Unterdorfstr. 10;9451;Kriessern SG;SH;;B, C, O, P, S
41140868;Schlachthof Büttner AG;Industriestrasse Althau 15;5303;Würenlingen AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
61601494;Schlachthof Gruben Huus-Metzg, Notschlachtlokal Niederuzwil;Grueben ;9244;Niederuzwil SG;SH;SH(II), SH(III);B, C, O, P, S
80373292;Schlachthof Metzgerei G. Zuber Ag;Metzgerei ;3922;Stalden VS VS;SH;;B, C, O, P, S
63392618;Schlachthof Metzgerei Mark AG;Lundnerstrasse 69;7222;Lunden GR;SH;SH(III), GHE(IV);B, C, O, P, S
65395213;Schlachthof Mittelbünden AG;Unterrealta ;7408;Cazis GR;SH, CP;SH(II);B, C, O, P, S
69519825;Schlachthof Zermatt;;3920;Zermatt VS;SH;;B, C, O, P, S
79910235;Schlachthüsi Freimettigen;Katzengässli 1;3510;Konolfingen BE;SH;SH(II), SH(III);B, C, O, P, S
ZB-69834275;Schlachthüsli Fey GmbH;Dielsdorferstr. 2;8173;Neerach ZH;SH;;B
69834275;Schlachthüsli Fey GmbH;Dielsdorferstr. 2;8173;Neerach ZH;SH;SH(II), SH(III);B, C, O, P, S
70148254;Schlachtlokal Arisdorf;Hauptstrasse 72;4422;Arisdorf BL;SH;SH(III), GHE(IV);B, C, O, P
70148275;Schlachtlokal Bennwil;Spittelerweg 1;4431;Bennwil BL;SH;;B, C, O, P
74342247;Schlachtlokal Carnatira Janki SA;Via Staziun 8;7156;Rueun GR;SH;SH(III), GHE(IV);B, C, O, P, S
55143351;Schlachtlokal Curschellas SA;Via Alpsu 73;7188;Sedrun GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70687422;Schlachtlokal Diegten;Zälghagweg 55;4457;Diegten BL;SH;;B, C, O
65199213;Schlachtlokal Fleischgenossenschaft Sernftal;Sernftalstrasse 38;8765;Engi GL;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70148144;Schlachtlokal Fleischzentrum Klosters Davos AG;Gulfiastrasse 38;7252;Klosters Dorf GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70148191;Schlachtlokal Furna;Geissbodenweg 3;7232;Furna GR;SH;SH(III), GHE(IV);B, C, O, P, S
45865628;Schlachtlokal Gelterkinden;Fabrikweg 11;4460;Gelterkinden BL;SH;;B, C, O, P
68085888;Schlachtlokal Genossenschafts-Metzgerei;Gewerbestrasse 6;7107;Safien Platz GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
64842232;Schlachtlokal Grava;;7452;Cunter GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
42550678;Schlachtlokal Hartmann;Oberdorfstrasse 11;7202;Says GR;SH;;B, C, O, P
51958523;Schlachtlokal Hatecke;Center Augustin ;7550;Scuol GR;SH;SH(III), GHE(IV);B
70627177;Schlachtlokal Hofmetzgerei Sonnenrüti;Medergerstrasse 4;7057;Langwies GR;SH;GHE(IV);B, C, O
42516614;Schlachtlokal Hösli Metzg AG;Oswald-Heer-Strasse 13;8750;Glarus GL;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70603202;Schlachtlokal Jenins;Sägenstrasse 14;7307;Jenins GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P
70148322;Schlachtlokal Känerkinden;Hauptstrasse 30;4447;Känerkinden BL;SH;SH(II), SH(III), GHE(IV);B, C, O, P
80616867;Schlachtlokal Limpachtal z.Hd. Herrn Martin Reber;Hauptstrasse 31;4588;Oberramsern SO;SH;SH(II), SH(III);B, C, O, P
40818715;Schlachtlokal Lozza;Metzgerei ;7180;Disentis/Mustér GR;SH;;B, C, O, P
40239837;Schlachtlokal Metzgerei Berwert AG;Adlerstrasse 19;8868;Oberurnen GL;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
73200196;Schlachtlokal Metzgerei Hefti Zizers;Oberauweg 4;7205;Zizers GR;SH;SH(III), GHE(IV);B, C, O, P, S
51973888;Schlachtlokal Metzgerei Spiess GmbH;Voa Principala 34 /Postfach 937;7078;Lenzerheide/Lai GR;SH;SH(II);B, C, O, P
66501258;Schlachtlokal Meztga Viamala;Pitgogna 19;7440;Andeer GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70602628;Schlachtlokal Münstertal;Döss da Somvih 105;7537;Müstair GR;SH;SH(III), GHE(IV);B, C, O, P, S
70603223;Schlachtlokal Nay Ivo;Via d'Industria 17;7166;Trun GR;SH;SH(III), GHE(IV);B, C, O, P, S
63284295;Schlachtlokal Pally;Metzgerei ;7184;Curaglia GR;SH;SH(III), GHE(IV);B, C, O
70148186;Schlachtlokal Trimmis;Karlihof 2;7203;Trimmis GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70602607;Schlachtlokal Tschuppina;Via Cuort 16;7165;Breil/Brigels GR;SH;;B, C, O, P, S
40818694;Schlachtlokal Venzin;Via Sursilvana 23;7180;Disentis/Mustér GR;SH;SH(III), GHE(IV);B, C, O, P
65754310;Schlachtlokal Vrin;Sut Vitg 51C;7149;Vrin GR;SH;SH(III), GHE(IV);B, C, O, P, S
70148390;Schlachtlokal Wenslingen;Hauptstrasse 11;4493;Wenslingen BL;SH;SH(II), SH(III), GHE(IV);B, C, O, P
60250302;Schlachtlokal Wiederkehr;Refontana ;6544;Braggio GR;SH;;B, C
46121029;Schlachtlokal Zanetti;Quadra Secha 37B;7556;Ramosch GR;SH;SH(III), GHE(IV);B, C, O, P, S
70148406;Schlachtlokal Ziefen;Hauptstrasse 103;4417;Ziefen BL;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
41402754;Schmid Metzgerei Biberen AG;Bernstrasse 92;3206;Biberen BE;SH;SH(III);B, C, O, P
61240850;Schmied Bruno;Dorfstrasse 18;3633;Amsoldingen BE;SH;;B, C, O, P
42425737;Schneider Hans;Brandhof ;4312;Magden AG;SH;SH(II), GHE(IV);B, C, O, P, S
70654207;Schneider Heinz;Kappelenstrasse 28;3472;Wynigen BE;SH;SH(III);B, C, O, P
46906385;"Scholl Fleisch- &amp; Feinkost AG André Scholl";Kronengasse 3;2545;Selzach SO;SH;SH(II), SH(III);B, C, O, P
43212174;Schuler Meinrad;Waagtalstrasse 82;8842;Unteriberg SZ;SH;;B, C, O, P
80615769;Schwander Urs;Walterswilerstrasse 10;5746;Walterswil SO SO;SH;SH(II), SH(III);B, C, O, P
63304229;Schwarzer Raphael;Trüttlikon 12;8524;Uesslingen TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
70148888;Schwendi-Metzg GmbH;Schwendi 308;3625;Heiligenschwendi BE;SH;SH(II);B, C, O, P
70736226;Schärer Fleischverarbeitungen GmbH;Sensebrücke 17;3176;Neuenegg FR;SH, CP;SH(III), CP(III);B, C, O, P, S
52227997;Service intercommunal de gestion SIGE;Quai Maria-Belgia 18;1800;Vevey VD;SH, CP;;B, C, O, P, S
70425416;Signer-Frick Peter;Ochsen, Unterdorf 20;9105;Schönengrund AR;SH;SH(II), SH(III), GHE(IV), PP(VI);B, C, O, P, S
64428066;SILA AG;Gewerbestr. 4;4446;Buckten BL;SH, CP;;B, C, O
74903220;Sonnay Eric;La Dausaz 1;1607;Les Tavernes VD;SH, CP;SH(II);B, C, O, P, S
44245815;Spuhler Daniel;Unterer Berghof 90;5465;Mellikon AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70148605;Stachel-Holdener Josef;Firststrasse 7;8835;Feusisberg SZ;SH;;B, C, O, P
CH64016213;Stadelmann Joseph;Route des Fontaines 22;2952;Cornol JU;SH;;B, C, O, P
52126472;Sté coopérative de l'abattoir régional d'Orbe;Ch. de l'Etraz 19;1350;Orbe VD;SH, CP;SH(III), CP(III), GHE(IV);B, C, O, P, S
70147842;Sté coopérative de l'abattoir régional GPEO;Rte des Ouges 18;1660;Les Moulins VD;SH, CP;;B, C, O, P, S
64960113;Sté coopérative des Abattoirs;Ch. de Trérayer 2;1880;Les Posses-sur-Bex VD;SH;;B, C, O, P, S
A10859694;Stocker Simon;Sennhus 4;8820;Wädenswil ZH;SH;SH(III);B, O
ZB-10859694;Stocker Simon;Sennhus 4;8820;Wädenswil ZH;SH;;B
40973797;Sturzenegger Kurt;Sonnhaldenstrasse 1;8370;Sirnach TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
43363946;Styger Bruno;Gisenrütistr. 80;8820;Wädenswil ZH;SH;SH(II), SH(III);B, C, O, P, S
62474159;Störmetzgerei Pfäfers;Ausserdorfstrasse 1;7312;Pfäfers SG;SH;SH(III);B, C, O, P, S
93502924;Säntis Metzgerei AG;Dorf 813;9064;Hundwil AR;SH;SH(II), GHE(IV), PP(VI);B, C, O, P
41305370;"Thoma &amp; Liechti Fleisch AG";;3308;Grafenried BE;SH;SH(II);B, C, O, P
91604182;Tierpark Lange Erlen;Erlenparkweg 110;4058;Basel BS;SH, CP;SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV);B, C, O, P
TI70678585;Tognetti Tessa;Via al Ticino 6;6592;S. Antonino TI;SH;;B, C, O, P, S
53577205;Tschumi Christian GmbH;Unterdorfstrasse 52;4244;Röschenz BL;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
81047276;Ueli Hof AG;Ueli Hof AG Schlachtbetrieb ;6030;Ebikon LU;SH;;B, C, O, P
52616580;Universität ZH Vetsuisse Fakultät;Winterthurerstr. 204;8057;Zürich ZH;SH;SH(II), SH(III);B, C, O, P, S
70147989;Urich Fleisch und Feines GmbH;Mitteldorf 3;4314;Zeiningen AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
CH41457439;Vallat Yannick;Rue de la Terrière ;2915;Bure JU;SH;SH(II);B, C, O, P
CH61800956;Vanhouteghem Michel;Faubourg de France 19;2900;Porrentruy JU;SH;;B, C, O, P, S
70149258;Verein Regionalschlachthaus Agasul;Vogtacherstr. 1;8308;Agasul ZH;SH;SH(II), SH(III);B, C, O, P, S
70600311;Viehverwertung Fischenthal;Tösstalstr. 428;8497;Fischenthal ZH;SH;SH(II), SH(III);B, C, O, P, S
41685362;Vonwyl Fleisch GmbH;Alberswilerstr. 7;6218;Ettiswil LU;SH, CP;PP(VI);B, C, O, P
81800763;VVK Viehversicherungskassen;Bahnhofstrasse 4;3465;Dürrenroth BE;SH;;B, C, O, P
70593633;Vögele Rolf;Gibriststrasse 10;5317;Hettenschwil AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
ZB-70149237;Wanger's Landmetzg AG;Wangen 17;8127;Forch ZH;SH;;B
70149237;Wanger's Landmetzg AG;Wangen 17;8127;Forch ZH;SH;SH(II), SH(III);B, C, O, P, S
80603407;Weber Jakob;Aewilerstrasse 1;9608;Ganterschwil SG;SH;;B, C, O, P
45848690;Weber Jakob;Gotthardstrasse 3;6415;Arth SZ;SH;;B, C, O, P
45101487;Wechsler Metzg AG;Dorf ;6244;Nebikon LU;SH;;B, C, O, P, S
42135031;Wernli Roger;Gansingerstrasse 20;5236;Remigen AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
42674660;Wicki - Stalder Walter;Dürrenbachtempel ;6192;Wiggen LU;SH;;B, C, O, P
41015272;Widmer Urs;Hintergasse 3;9620;Lichtensteig SG;SH;SH(II);B, C, O, P
46733798;Wildmanufaktur und Pferdemetzgerei Arn GmbH;Teufenthalerstrasse 27;5724;Dürrenäsch AG;SH;SH(III), GHE(IV);B, C, O, P, S
70218351;Winkler Fleisch und Vieh AG;Bielstrasse 49a;3250;Lyss BE;SH;;B, C, O, P, S
50358303;Wiprächtiger AG;Dorfstrasse 40;6133;Hergiswil b. Willisau LU;SH, CP;;B, C, O, P, S
79618227;Ürmetzg AG;Giessenstrasse 44;6460;Altdorf UR UR;SH;;B, C, O, P
53159495;Zeller Michael;Juggen ;9204;Andwil SG SG;SH;;B, C, O, P
68684060;"Zett Michael &amp; Pirmin";Hirschlenstrasse 5;8864;Reichenburg SZ;SH;;B, C, O, P
79870279a;Zusatzbewilligung Hoftötung;;8242;Bibern SH SH;SH;;